column_id,enum_id,enum_name
design_capacity_unit,m3_s,cubic meters per second
design_capacity_unit,l_s,liters per second
design_capacity_unit,gal_m,gallons per minute
design_capacity_unit,m3_h,cubic meters per hour
design_capacity_unit,l_m,liters per minute
design_organic_load_capacity_unit,kg_day,kilograms per day
design_organic_load_capacity_unit,lb_day,pounds per day
surface_area_unit,m2,square meters
surface_area_unit,ha,hectares
surface_area_unit,ft2,square feet
surface_area_unit,acre,acres
treatment_depth_unit,m,meters
treatment_depth_unit,ft,feet
liner_type,geomembrane,Geomembrane
liner_type,compacted_clay,Compacted clay
liner_type,concrete_or_masonry,Concrete or masonry
liner_type,unlined,Unlined
liner_type,unknown,Unknown
liner_type,other,Other
primary_chemical_used,chlorine_gas,Chlorine gas
primary_chemical_used,sodium_hypo,Sodium hypochlorite (bleach)
primary_chemical_used,calcium_hypo,Calcium hypochlorite
primary_chemical_used,chloramine,Chloramine
primary_chemical_used,chlorine_dioxide,Chlorine dioxide
primary_chemical_used,sulfur_dioxide,Sulfur dioxide
primary_chemical_used,ozone_onsite,Ozone (on-site generated)
primary_chemical_used,methanol,Methanol
primary_chemical_used,ferric_chloride,Ferric chloride
primary_chemical_used,alum,Alum
primary_chemical_used,lime,Lime
primary_chemical_used,caustic_soda,Caustic soda
primary_chemical_used,acid,Acid
primary_chemical_used,polymer,Polymer
primary_chemical_used,other,Other
dispersal_type,soak_pit,Soak pit
dispersal_type,leach_field_or_drainage_field,Leach field or drainage field
dispersal_type,infiltration_trench,Infiltration trench
dispersal_type,evapotranspiration_bed,Evapotranspiration bed
dispersal_type,mound_system,Mound system
dispersal_type,other,Other
outfall_type,treatment_plant_outfall,Treatment plant outfall
outfall_type,combined_sewer_overflow,Combined sewer overflow (CSO)
outfall_type,emergency_overflow,Emergency overflow
outfall_type,other,Other
receiving_water_type,river_or_stream,River or stream
receiving_water_type,lake_or_reservoir,Lake or reservoir
receiving_water_type,estuary,Estuary
receiving_water_type,coastal_water,Coastal water
receiving_water_type,agricultural_or_reuse_system,Agricultural land or reuse system
receiving_water_type,other,Other
pipe_type,lateral,Lateral (property connection)
pipe_type,condominial_branch,Condominial branch
pipe_type,main,Main
pipe_type,trunk,Trunk
pipe_type,interceptor,Interceptor
pipe_type,rising_main,Rising main (force main)
