column_id,enum_id,enum_name
ht_protection_length_unit,in,inches
ht_protection_width_unit,m,meters
ht_protection_width_unit,cm,centimeters
ht_protection_width_unit,ft,foot
ht_protection_width_unit,in,inches
ht_protection_depth_unit,m,meters
ht_protection_depth_unit,cm,centimeters
ht_protection_depth_unit,ft,foot
ht_protection_depth_unit,in,inches
ht_cover_type,concrete,Concrete
ht_cover_type,metal,Metal
ht_protection_diameter_unit,cm,centimeters
ht_protection_diameter_unit,m,meters
ht_protection_diameter_unit,in,inches
ht_protection_diameter_unit,ft,foot
ht_protection_material,fiberglass,Fiberglass
ht_protection_material,metal,Metal
ht_protection_material,plastic,Plastic
water_point_type,piped_connection,Piped connection
water_point_type,kiosk,Kiosk
water_point_type,public_tap,Public tap
water_point_type,dug_well,Dug well
water_point_type,spring,Spring
water_point_type,borehole,Borehole
water_point_type,tubewell,Tubewell
water_point_type,rainwater_catchment,Rainwater catchment
water_point_type,watering_trough,Watering trough
water_point_type,other,Other
pipe_type,transmission_main,Transmission main
pipe_type,primary_main,Primary main
pipe_type,secondary_main,Secondary main
pipe_type,distribution_main,Distribution main
pipe_type,service_line,Service line
pipe_type,other,Other
nominal_pressure_unit,pa,pascal
nominal_pressure_unit,kpa,kilopascals
nominal_pressure_unit,psi,pounds per square inch
nominal_pressure_unit,ft_water,feet of water (39.2 F)
nominal_pressure_unit,in_water,inches of water (39.2 F)
nominal_pressure_unit,cm_water,centimeters of water (4 C)
nominal_pressure_unit,m_water,meters of water (4 C)
nominal_pressure_unit,bar,bars
pipe_depth_below_ground_unit,m,meters
pipe_depth_below_ground_unit,cm,centimeters
pipe_depth_below_ground_unit,in,inches
pipe_depth_below_ground_unit,ft,feet
connection_type,residential,Residential
connection_type,commercial,Commercial
connection_type,industrial,Industrial
connection_type,institutional,Institutional
connection_type,other,Other
connection_diameter_unit,m,meters
connection_diameter_unit,cm,centimeters
connection_diameter_unit,mm,millimeters
connection_diameter_unit,in,inches
connection_status,active,Active
connection_status,inactive,Inactive
connection_status,disconnected,Disconnected
connection_status,closed,Closed
tank_base_type,elevated,Elevated
tank_base_type,ground,Ground level
tank_base_material,concrete,Concrete
tank_base_material,compacted_earth,Compacted earth or dirt
tank_base_material,masonry,Masonry
tank_base_material,wood,Wood
tank_base_material,roof,Roof
tank_base_material,wood,Wood
tank_base_material,other,Other
tank_base_height_unit,m,meters
tank_base_height_unit,cm,centimeters
tank_base_height_unit,ft,foot
tank_base_height_unit,in,inches
